mode,precision_at_3,recall_at_3,mrr,ndcg_at_3,faithfulness,avg_latency_ms,total_cost_usd,llm_calls,avg_retries,avg_repairs,abstain_count
linear_hybrid_rerank,0.5777777777777777,0.4527777777777777,0.7555555555555556,0.5241633819955954,0.91,4596.858772332295,0.029619,60,0.0,0.0,0
agentic_rag_langgraph,0.5555555555555556,0.44166666666666665,0.7555555555555556,0.5163420698952161,0.9700000000000001,7139.156620797196,0.04605759,98,0.2,0.13333333333333333,6
