mode,precision_at_3,recall_at_3,mrr,ndcg_at_3,faithfulness,avg_latency_ms,total_cost_usd,llm_calls,avg_retries,avg_repairs,abstain_count
linear_hybrid_rerank,0.5,0.41666666666666663,1.0,0.5412129593941074,1.0,3057.0744585129432,0.00217591,4,0.0,0.0,0
agentic_rag_langgraph,0.5,0.41666666666666663,1.0,0.5412129593941074,1.0,4856.128228537273,0.00312377,6,0.0,0.0,0
