mode,precision_at_3,recall_at_3,mrr,ndcg_at_3,faithfulness,avg_latency_ms,total_cost_usd,llm_calls,avg_retries,avg_repairs,abstain_count
linear_hybrid_rerank,0.5777777777777777,0.43611111111111106,0.7555555555555556,0.5112682884211107,0.9066666666666666,3269.326275001125,0.02964966,60,0.0,0.0,0
agentic_rag_langgraph,0.5722222222222223,0.425,0.7555555555555556,0.5034469763207314,0.98,5107.722230569925,0.044332350000000006,94,0.2,0.06666666666666667,6
